#                                           	RMSE_E (eV)	RMSE_Sx  	RMSE_Sy  	RMSE_Sz
in the whole energy range                	0.026035	0.009113	0.007085	0.159005
up to Fermi                                 	0.000446	0.008069	0.004032	0.027728
in the frozen window (-5.691 to 3.701 eV)	0.000410	0.006987	0.003778	0.025255
window +- 0.500 eV around Fermi level    	0.000708	0.006701	0.007754	0.018452
window +- 0.100 eV around Fermi level    	0.000728	0.003572	0.009551	0.019929
