  0.00000000E+00 -0.76954614E+01 -0.30910125E-03
  0.12220013E-01 -0.76995896E+01  0.19154902E-02
  0.24440027E-01 -0.77102502E+01  0.50969409E-02
  0.36660040E-01 -0.77248307E+01  0.88716208E-02
  0.48880053E-01 -0.77412143E+01  0.12920880E-01
  0.61100066E-01 -0.77579260E+01  0.16925335E-01
  0.73320080E-01 -0.77739793E+01  0.20566019E-01
  0.85540093E-01 -0.77887107E+01  0.23573038E-01
  0.97760106E-01 -0.78016656E+01  0.25780905E-01
  0.10998012E+00 -0.78125270E+01  0.27164903E-01
  0.12220013E+00 -0.78210723E+01  0.27847480E-01
  0.13442015E+00 -0.78271473E+01  0.28074011E-01
  0.14664016E+00 -0.78306495E+01  0.28165091E-01
  0.15886017E+00 -0.78315176E+01  0.28457618E-01
  0.17108019E+00 -0.78297267E+01  0.29248763E-01
  0.18330020E+00 -0.78252847E+01  0.30755104E-01
  0.19552021E+00 -0.78182337E+01  0.33094250E-01
  0.20774023E+00 -0.78086531E+01  0.36289058E-01
  0.21996024E+00 -0.77966659E+01  0.40286473E-01
  0.23218025E+00 -0.77824505E+01  0.44975409E-01
  0.24440027E+00 -0.77662561E+01  0.50182436E-01
  0.25662028E+00 -0.77484250E+01  0.55622968E-01
  0.26884029E+00 -0.77294166E+01  0.60797598E-01
  0.28106031E+00 -0.77098227E+01  0.64870298E-01
  0.29328032E+00 -0.76903446E+01  0.66672161E-01
  0.30550033E+00 -0.76716944E+01  0.65066027E-01
  0.31772035E+00 -0.76544173E+01  0.59673101E-01
  0.32994036E+00 -0.76387292E+01  0.51338028E-01
  0.34216037E+00 -0.76244997E+01  0.41709808E-01
  0.35438039E+00 -0.76113823E+01  0.32362053E-01
  0.36660040E+00 -0.75989741E+01  0.24275877E-01
  0.37882041E+00 -0.75869144E+01  0.17822729E-01
  0.39104043E+00 -0.75749182E+01  0.12945998E-01
  0.40326044E+00 -0.75627748E+01  0.93362207E-02
  0.41548045E+00 -0.75503335E+01  0.65584717E-02
  0.42770047E+00 -0.75374893E+01  0.41487419E-02
  0.43992048E+00 -0.75241712E+01  0.16945373E-02
  0.45214049E+00 -0.75103327E+01 -0.10985152E-02
  0.46436051E+00 -0.74959467E+01 -0.43611489E-02
  0.47658052E+00 -0.74810003E+01 -0.80450663E-02
  0.48880053E+00 -0.74654928E+01 -0.11943163E-01
  0.50102055E+00 -0.74494340E+01 -0.15744028E-01
  0.51324056E+00 -0.74328440E+01 -0.19111732E-01
  0.52546057E+00 -0.74157548E+01 -0.21775764E-01
  0.53768059E+00 -0.73982124E+01 -0.23613234E-01
  0.54990060E+00 -0.73802839E+01 -0.24707183E-01
  0.56212061E+00 -0.73620691E+01 -0.25371208E-01
  0.57434063E+00 -0.73437241E+01 -0.26140399E-01
  0.58656064E+00 -0.73255116E+01 -0.27738715E-01
  0.59878065E+00 -0.73079113E+01 -0.31029795E-01
